,Adidas Sales Database,,,,,,
,,,,,,,
,,,,,,,
Retailer,Invoice Date,Address,Product,Price per Unit,Units Sold,Operating Margin,Sales Method
Foot Locker _1185732,01-01-2020,"Northeast,New York,New York",Men's Street Footwear,$50.00 ,"1,200",50%,In-store
Foot Locker _1185732,02-01-2020,"Northeast,New York,New York",Men's Athletic Footwear,$50.00 ,"1,000",30%,In-store
Foot Locker _1185732,03-01-2020,"Northeast,New York,New York",Women's Street Footwear,$40.00 ,"1,000",35%,In-store
Foot Locker _1185732,04-01-2020,"Northeast,New York,New York",Women's Athletic Footwear,$45.00 ,850,35%,In-store
Foot Locker _1185732,05-01-2020,"Northeast,New York,New York",Men's Apparel,$60.00 ,900,30%,In-store
Foot Locker _1185732,06-01-2020,"Northeast,New York,New York",Women's Apparel,$50.00 ,"1,000",25%,In-store
Foot Locker _1185732,07-01-2020,"Northeast,New York,New York",Men's Street Footwear,$50.00 ,"1,250",50%,In-store
Foot Locker _1185732,08-01-2020,"Northeast,New York,New York",Men's Athletic Footwear,$50.00 ,900,30%,Outlet
Foot Locker _1185732,21-01-2020,"Northeast,New York,New York",Women's Street Footwear,$40.00 ,950,35%,Outlet
Foot Locker _1185732,22-01-2020,"Northeast,New York,New York",Women's Athletic Footwear,$45.00 ,825,35%,Outlet
Foot Locker _1185732,23-01-2020,"Northeast,New York,New York",Men's Apparel,$60.00 ,900,30%,Outlet
Foot Locker _1185732,24-01-2020,"Northeast,New York,New York",Women's Apparel,$50.00 ,"1,000",25%,Outlet
Foot Locker _1185732,25-01-2020,"Northeast,New York,New York",Men's Street Footwear,$50.00 ,"1,220",50%,Outlet
Foot Locker _1185732,26-01-2020,"Northeast,New York,New York",Men's Athletic Footwear,$50.00 ,925,30%,Outlet
Foot Locker _1185732,27-01-2020,"Northeast,New York,New York",Women's Street Footwear,$40.00 ,950,35%,Outlet
Foot Locker _1185732,28-01-2020,"Northeast,New York,New York",Women's Athletic Footwear,$45.00 ,800,35%,Outlet
Foot Locker _1185732,29-01-2020,"Northeast,New York,New York",Men's Apparel,$60.00 ,850,30%,Outlet
Foot Locker _1185732,30-01-2020,"Northeast,New York,New York",Women's Apparel,$50.00 ,950,25%,Outlet
Foot Locker _1185732,31-01-2020,"Northeast,New York,New York",Men's Street Footwear,$50.00 ,"1,200",50%,Outlet
Foot Locker _1185732,01-02-2020,"Northeast,New York,New York",Men's Athletic Footwear,$50.00 ,900,30%,Outlet
Foot Locker _1185732,02-02-2020,"Northeast,New York,New York",Women's Street Footwear,$40.00 ,900,35%,Outlet
Foot Locker _1185732,03-02-2020,"Northeast,New York,New York",Women's Athletic Footwear,$45.00 ,825,35%,Outlet
Foot Locker _1185732,04-02-2020,"Northeast,New York,New York",Men's Apparel,$60.00 ,825,30%,Outlet
Foot Locker _1185732,05-02-2020,"Northeast,New York,New York",Women's Apparel,$50.00 ,950,25%,Outlet
Foot Locker _1185732,06-02-2020,"Northeast,New York,New York",Men's Street Footwear,$60.00 ,"1,220",50%,Outlet
Foot Locker _1185732,07-02-2020,"Northeast,New York,New York",Men's Athletic Footwear,$55.00 ,925,30%,Outlet
Foot Locker _1185732,08-02-2020,"Northeast,New York,New York",Women's Street Footwear,$50.00 ,900,35%,Outlet
Foot Locker _1185732,09-02-2020,"Northeast,New York,New York",Women's Athletic Footwear,$50.00 ,850,35%,Outlet
Foot Locker _1185732,10-02-2020,"Northeast,New York,New York",Men's Apparel,$60.00 ,875,30%,Outlet
Foot Locker _1185732,03-03-2020,"Northeast,New York,New York",Women's Apparel,$65.00 ,"1,000",25%,Outlet
